文,出現順序,全体のコメント,ラベル
"
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。",1,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
"
",2,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。,3,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
"
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。",4,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
"
",5,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。,6,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。,0,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
"
もちろん非保持者はマイナンバーカードをIDとして使えば良い。",1,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
"
",2,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。,3,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
"
保持者にとっては一番便利ですよ。",4,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。,0,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。",1,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
そこまでやらないと普及しないマイナンバーカードは必要だろうか。",2,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
",3,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
市場経済ではメリットがないものはいずれ淘汰される。,4,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。",5,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。",6,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
そこに莫大な無駄なお金が必要になる。,7,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",8,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。,0,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
"
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。",1,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
"
",2,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。,3,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。,4,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
"
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。",5,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
どんな仕組みも最初から最善だった事例は人類史にありません。,6,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
継続的改善でより良きシステムにしていきましょう。,7,"日本は世界的にも少子化が著しく進行しており、まもなくアナログ対応では日常生活が対応できなくなる事は明らかです。
従ってデジタル化は必須で、全てが処理可能なマイナンバーカードは必須です。
今起こっているマイナンバーカードの問題点はアナログ対応からデジタル化に移行する時に必ず起こるアナログ人間によるミスです。これを否定すればデジタル化は不可能で、20年もすれば日本の行政はパンクし、日常生活が困難に直面する事は明白です。
世界でデジタル化が最も遅れている国の一つの日本は、まず追いつく事を優先しましょう。どんな仕組みも最初から最善だった事例は人類史にありません。継続的改善でより良きシステムにしていきましょう。",
未だに平成表記の運転免許証を所持しているのだが、このまま行くと最後の運転免許証所持者になってしまうのかもしれないな。,0,"未だに平成表記の運転免許証を所持しているのだが、このまま行くと最後の運転免許証所持者になってしまうのかもしれないな。でもなぁ。マイナンバーカードはマスターキーみたいなもので、普段持ち歩くものではない気がします。
利便性とセキュリティは相反するものですので、どこでバランスさせるかを個人が選択できるようなシステムだといいのになぁ。",
でもなぁ。,1,"未だに平成表記の運転免許証を所持しているのだが、このまま行くと最後の運転免許証所持者になってしまうのかもしれないな。でもなぁ。マイナンバーカードはマスターキーみたいなもので、普段持ち歩くものではない気がします。
利便性とセキュリティは相反するものですので、どこでバランスさせるかを個人が選択できるようなシステムだといいのになぁ。",
マイナンバーカードはマスターキーみたいなもので、普段持ち歩くものではない気がします。,2,"未だに平成表記の運転免許証を所持しているのだが、このまま行くと最後の運転免許証所持者になってしまうのかもしれないな。でもなぁ。マイナンバーカードはマスターキーみたいなもので、普段持ち歩くものではない気がします。
利便性とセキュリティは相反するものですので、どこでバランスさせるかを個人が選択できるようなシステムだといいのになぁ。",
"
利便性とセキュリティは相反するものですので、どこでバランスさせるかを個人が選択できるようなシステムだといいのになぁ。",3,"未だに平成表記の運転免許証を所持しているのだが、このまま行くと最後の運転免許証所持者になってしまうのかもしれないな。でもなぁ。マイナンバーカードはマスターキーみたいなもので、普段持ち歩くものではない気がします。
利便性とセキュリティは相反するものですので、どこでバランスさせるかを個人が選択できるようなシステムだといいのになぁ。",
春に厚木基地に行きましたが、免許証だけでは入れなかったようです。,0,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
"
",1,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
パスポートなりマイナンバーカードならOKでした。,2,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
"
横田基地は免許証でも入れましたけど。",3,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
"
恐らくですが免許証は偽造しやすいんでしょう。",4,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
"
",5,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
ただ、免許証も一本化するなら即日発行はしてもらいたい。,6,"春に厚木基地に行きましたが、免許証だけでは入れなかったようです。
パスポートなりマイナンバーカードならOKでした。
横田基地は免許証でも入れましたけど。
恐らくですが免許証は偽造しやすいんでしょう。
ただ、免許証も一本化するなら即日発行はしてもらいたい。",
一つにするというメリットもあるんだろうけど。,0,"一つにするというメリットもあるんだろうけど。

纏めるリスクの方が勝っているように思える。

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。極端に24時間対応してくれるのかな？

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",
"

纏めるリスクの方が勝っているように思える。",1,"一つにするというメリットもあるんだろうけど。

纏めるリスクの方が勝っているように思える。

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。極端に24時間対応してくれるのかな？

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",
"

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。",2,"一つにするというメリットもあるんだろうけど。

纏めるリスクの方が勝っているように思える。

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。極端に24時間対応してくれるのかな？

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",
極端に24時間対応してくれるのかな？,3,"一つにするというメリットもあるんだろうけど。

纏めるリスクの方が勝っているように思える。

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。極端に24時間対応してくれるのかな？

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",
"

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",4,"一つにするというメリットもあるんだろうけど。

纏めるリスクの方が勝っているように思える。

紛失というリスクは誰でもあることに対して、纏めた後に1箇所で全て再発行できるのだろうか。極端に24時間対応してくれるのかな？

無理に進めずともいいように思える事が、
政府は起こり得るリスク把握せずに進めようとすることがリスクだな、これ。",
問題が多発しているのに、ここまで強引に拙速にカードに集約したいのは国民の為と言うより、カード関連業者との癒着そして国の管理強化の為と言わざるを得ない。,0,"問題が多発しているのに、ここまで強引に拙速にカードに集約したいのは国民の為と言うより、カード関連業者との癒着そして国の管理強化の為と言わざるを得ない。
もし違うと言うなら法的には任意のカードを姑息な手段で実質義務化にしないで、正面から国民に理由を丁寧に説明し法律的に義務化して下さい。",
"
",1,"問題が多発しているのに、ここまで強引に拙速にカードに集約したいのは国民の為と言うより、カード関連業者との癒着そして国の管理強化の為と言わざるを得ない。
もし違うと言うなら法的には任意のカードを姑息な手段で実質義務化にしないで、正面から国民に理由を丁寧に説明し法律的に義務化して下さい。",
もし違うと言うなら法的には任意のカードを姑息な手段で実質義務化にしないで、正面から国民に理由を丁寧に説明し法律的に義務化して下さい。,2,"問題が多発しているのに、ここまで強引に拙速にカードに集約したいのは国民の為と言うより、カード関連業者との癒着そして国の管理強化の為と言わざるを得ない。
もし違うと言うなら法的には任意のカードを姑息な手段で実質義務化にしないで、正面から国民に理由を丁寧に説明し法律的に義務化して下さい。",
カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。,0,"カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。
義務でないものを取得しないと生活が成り立たなくする。
政策の矛盾としか言えません。

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。
そんなシステムばかりじゃないですか、この国は。
マイナンバーカードも、公平性や個人情報を守ろうとすると、複雑な手続や届出などが必要で、しかもそういうことができることを積極的に国民に知らせず、一部の人しか権利を享受できないものになっている。
いつものパターンが繰り返されるのではないでしょうか。
その最悪なシステムが構築されそうですね。",
"
義務でないものを取得しないと生活が成り立たなくする。",1,"カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。
義務でないものを取得しないと生活が成り立たなくする。
政策の矛盾としか言えません。

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。
そんなシステムばかりじゃないですか、この国は。
マイナンバーカードも、公平性や個人情報を守ろうとすると、複雑な手続や届出などが必要で、しかもそういうことができることを積極的に国民に知らせず、一部の人しか権利を享受できないものになっている。
いつものパターンが繰り返されるのではないでしょうか。
その最悪なシステムが構築されそうですね。",
"
政策の矛盾としか言えません。",2,"カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。
義務でないものを取得しないと生活が成り立たなくする。
政策の矛盾としか言えません。

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。
そんなシステムばかりじゃないですか、この国は。
マイナンバーカードも、公平性や個人情報を守ろうとすると、複雑な手続や届出などが必要で、しかもそういうことができることを積極的に国民に知らせず、一部の人しか権利を享受できないものになっている。
いつものパターンが繰り返されるのではないでしょうか。
その最悪なシステムが構築されそうですね。",
"

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。",3,"カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。
義務でないものを取得しないと生活が成り立たなくする。
政策の矛盾としか言えません。

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。
そんなシステムばかりじゃないですか、この国は。
マイナンバーカードも、公平性や個人情報を守ろうとすると、複雑な手続や届出などが必要で、しかもそういうことができることを積極的に国民に知らせず、一部の人しか権利を享受できないものになっている。
いつものパターンが繰り返されるのではないでしょうか。
その最悪なシステムが構築されそうですね。",
"
そんなシステムばかりじゃないですか、この国は。",4,"カードの取得を義務づければシンプルで分かりやすいのに、反対派の説得に自信がなかったり、選挙に影響するから出来ないのかな。
義務でないものを取得しないと生活が成り立たなくする。
政策の矛盾としか言えません。

公平ということを口実にしてシステムを複雑にして、使うためには相当な勉強が必要になり、結局使える人と使えない人が出てきて不公平になる。
そんなシステムばかりじゃないですか、この国は。
マイナンバーカードも、公平性や個人情報を守ろうとすると、複雑な手続や届出などが必要で、しかもそういうことができることを積極的に国民に知らせず、一部の人しか権利を享受できないものになっている。
いつものパターンが繰り返されるのではないでしょうか。
その最悪なシステムが構築されそうですね。",
