文,出現順序,全体のコメント,ラベル
日本の運転免許証と交換したことになります。,2,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
"

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。",3,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
"

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。",4,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？,5,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？,6,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
"　

",7,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
今の政府はこのようなことまで考えていないでしょうね。,8,"オランダに駐在した時、オランダの運転免許証に書き換えした際に日本の運転免許証を取り上げられました。日本の運転免許証と交換したことになります。

在オランダ日本大使館とオランダ政府との間で特別に日本の運転免許証を本人に返す約束ができていたので、数カ月後に戻ってきました。

もし、マイナンバーカードが運転免許証を兼ねるとなれば、免許の記載事項が明記されていないので外国で用を足さない。記載されたとして、取り上げられて返却されないとなった場合、帰国した時、どうすればいいのでしょうかね？　外国の運転免許証でマイナンバーカードを発行してくれるのでしょうか？　

今の政府はこのようなことまで考えていないでしょうね。",
希望者だけマイナンバーカードで使える様にするだけにして欲しい。,1,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
"
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。",2,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。,3,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。,4,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
もちろん誰も責任取らないでしょうしね。,5,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
被害者だけが苦しむだけと。,6,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
"
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",7,"希望者だけマイナンバーカードで使える様にするだけにして欲しい。
紐付けは漢字一つの間違いもなく紐付けするなら勝手にどうぞですが、免許証は免許証として単独で持ちたい人まで巻き込まないで欲しい。
私、免許取得後無事故無違反ですが、今のマイナンバーの杜撰さみるにつけ、知らない間に勝手に点数削られて免停になったりあるんじゃないかと本気で思います。全てはシステムトラブルやヒューマンエラーでしょうが、責任逃れでたらい回しにされる未来しか思い浮かばない。
もちろん誰も責任取らないでしょうしね。被害者だけが苦しむだけと。
なんでもむやみやたらに国が強制してやるのは辞めて欲しい。",
紛失問題は、常に、なんにでもあるだろう。,1,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
"
国家試験免状もそうだ。",2,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。,3,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
"
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。",4,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。,5,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
"
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",6,"紛失問題は、常に、なんにでもあるだろう。
国家試験免状もそうだ。
「紙で配布され、本人が保管し、何かあれば持参する」という現状が、マイナカードで単純になれば、書類の保管も不要で、よほど便利になるような気がする。
何事にも全て光と影がある訳で、影だけを強調して反対するのはどうなのか。
多分、生涯変わらないとする指紋を登録し、本人確認の一助とするのは如何か。
写真と指紋のダブル認識で、安全性がグンと増すと思うが。",
今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。,1,"今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。
誰が考えたか知らないけど、遠大な計画ですね。日本の官僚もまだまだなかなか優秀です。",
"
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。",2,"今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。
誰が考えたか知らないけど、遠大な計画ですね。日本の官僚もまだまだなかなか優秀です。",
"

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。",3,"今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。
誰が考えたか知らないけど、遠大な計画ですね。日本の官僚もまだまだなかなか優秀です。",
"
誰が考えたか知らないけど、遠大な計画ですね。",4,"今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。
誰が考えたか知らないけど、遠大な計画ですね。日本の官僚もまだまだなかなか優秀です。",
日本の官僚もまだまだなかなか優秀です。,5,"今は新規に銀行口座を作るとに、運転免許証か保険証が必要だった。
それが、運転免許証と保険証がマイナカードに完全統合された後は、全ての新規銀行口座は、マイナカードが必要、すなわちマイナンバーと紐付く事になります。

少なくとも100年後には、ほぼ100%の銀行口座はマイナンバーに紐づいているでしょう。
誰が考えたか知らないけど、遠大な計画ですね。日本の官僚もまだまだなかなか優秀です。",
記事にもある通り、マイナカードを失くした時の本人確認や再発行の手順、かかる日にちはどうなるのでしょうか。,1,"記事にもある通り、マイナカードを失くした時の本人確認や再発行の手順、かかる日にちはどうなるのでしょうか。

今までは運転免許証や保険証、パスポートなどで本人確認ができたから、万が一が起こった時も何とか再発行に進むことができました。

マイナンバーに運転免許証や保険証を紐づけるのは構わないけれど、発行はそのまま続けてほしいです。
ほぼ毎日運転している私としては、たった一枚の身分証明書をずっと身につけなくてはいけないのはリスクがありすぎだと思います。",
"

今までは運転免許証や保険証、パスポートなどで本人確認ができたから、万が一が起こった時も何とか再発行に進むことができました。",2,"記事にもある通り、マイナカードを失くした時の本人確認や再発行の手順、かかる日にちはどうなるのでしょうか。

今までは運転免許証や保険証、パスポートなどで本人確認ができたから、万が一が起こった時も何とか再発行に進むことができました。

マイナンバーに運転免許証や保険証を紐づけるのは構わないけれど、発行はそのまま続けてほしいです。
ほぼ毎日運転している私としては、たった一枚の身分証明書をずっと身につけなくてはいけないのはリスクがありすぎだと思います。",
"

マイナンバーに運転免許証や保険証を紐づけるのは構わないけれど、発行はそのまま続けてほしいです。",3,"記事にもある通り、マイナカードを失くした時の本人確認や再発行の手順、かかる日にちはどうなるのでしょうか。

今までは運転免許証や保険証、パスポートなどで本人確認ができたから、万が一が起こった時も何とか再発行に進むことができました。

マイナンバーに運転免許証や保険証を紐づけるのは構わないけれど、発行はそのまま続けてほしいです。
ほぼ毎日運転している私としては、たった一枚の身分証明書をずっと身につけなくてはいけないのはリスクがありすぎだと思います。",
ほぼ毎日運転している私としては、たった一枚の身分証明書をずっと身につけなくてはいけないのはリスクがありすぎだと思います。,4,"記事にもある通り、マイナカードを失くした時の本人確認や再発行の手順、かかる日にちはどうなるのでしょうか。

今までは運転免許証や保険証、パスポートなどで本人確認ができたから、万が一が起こった時も何とか再発行に進むことができました。

マイナンバーに運転免許証や保険証を紐づけるのは構わないけれど、発行はそのまま続けてほしいです。
ほぼ毎日運転している私としては、たった一枚の身分証明書をずっと身につけなくてはいけないのはリスクがありすぎだと思います。",
僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。,1,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
"
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。",2,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。,3,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
"
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。",4,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。,5,"僕はですけど、多少不便でも、リスクが少なく小さい方が絶対にいいです。
政府や官庁にはメリットが大きいのかもしれませんが、一国民としては不安とリスクが大きすぎて、今のシステムレベルでは絶対に移行したくないです。
民間の販売しているシステムって、イレギュラーな事態も想定してこれでもかっていろいろなテストを行いリリースしていると思いますが、現状のマイナシステムはとりあえず作ったレベルで問題だらけです。
それでもって問題起きても国は責任とらないと断言しているのだから話にならないと思います。
せめて明らかになっている国民の判断で譲れないを解決し不安を解消しない限りリリースなどもってのほかです。",
考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。,1,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
"
もちろん非保持者はマイナンバーカードをIDとして使えば良い。",2,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。,3,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
"
保持者にとっては一番便利ですよ。",4,"考え方を切り替えて、運転免許証（運転経歴証明書）にマイナンバーカードの機能をつければいいのに。
もちろん非保持者はマイナンバーカードをIDとして使えば良い。
運転免許証保持者限定ですが、実務上長らくIDカードとして通用しており、転居しても最寄りの警察で簡単に処理してもらえる。
保持者にとっては一番便利ですよ。",
マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。,1,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。",2,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
そこまでやらないと普及しないマイナンバーカードは必要だろうか。",3,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
市場経済ではメリットがないものはいずれ淘汰される。,4,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。",5,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。",6,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
そこに莫大な無駄なお金が必要になる。,7,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
"
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",8,"マイナンバーカードの普及のために保険証を廃止し更に運転免許証を廃止するとは手段と目的を取り違えている。
マイナンバーカードを持つことにメリットがあれば自然と普及するが、ポイントを付与するという飴をぶら下げたり、それでもだめなら強制的に保険証や免許証を取り上げるぞと脅しをかける。
そこまでやらないと普及しないマイナンバーカードは必要だろうか。
市場経済ではメリットがないものはいずれ淘汰される。
既にポイントをもらった人はマイナンバーカードは家の引き出しにしまわれているだろうし、保険証や運転免許証も抜け道があればみんな抜け道に殺到するだろう。
困るのは既にシステムが確立しているのに新たな対応を迫られる医療機関や警察署だ。そこに莫大な無駄なお金が必要になる。
常時使う保険証や運転免許証と普段は使わないけど無くすと困るマイナンバーカードを一体化するというのは発想が貧困すぎる。",
