文,出現順序,全体のコメント,ラベル
"

",10,"まずは手術が成功して良かった。ドクターの話から推測するとハイブリッド手術だったのでしょうかね。

前回のトミージョン手術明けの2019年は、初めての経験でもあり、苦しんでるように見えました。
打者として試合に出場しながら、投手リハビリを重ねていくのは、相当に難しいこと。使う筋肉の種類がまるで違う。何しろ長い野球史の中で、誰一人経験者が居ませんでしたから。

でも今回は違う。大谷翔平と言う前例があります。経験を活かして、回復ではなく、むしろ進化すると確信してます。

「残り試合のチームの勝利を祈りつつ、自分自身一日でも早くグラウンドに戻れるように頑張ります」
→残留します、としか聞こえないのですが…

まあ、何処で何をしようが応援あるのみ。",
「残り試合のチームの勝利を祈りつつ、自分自身一日でも早くグラウンドに戻れるように頑張ります」,11,"まずは手術が成功して良かった。ドクターの話から推測するとハイブリッド手術だったのでしょうかね。

前回のトミージョン手術明けの2019年は、初めての経験でもあり、苦しんでるように見えました。
打者として試合に出場しながら、投手リハビリを重ねていくのは、相当に難しいこと。使う筋肉の種類がまるで違う。何しろ長い野球史の中で、誰一人経験者が居ませんでしたから。

でも今回は違う。大谷翔平と言う前例があります。経験を活かして、回復ではなく、むしろ進化すると確信してます。

「残り試合のチームの勝利を祈りつつ、自分自身一日でも早くグラウンドに戻れるように頑張ります」
→残留します、としか聞こえないのですが…

まあ、何処で何をしようが応援あるのみ。",
"
→残留します、としか聞こえないのですが…",12,"まずは手術が成功して良かった。ドクターの話から推測するとハイブリッド手術だったのでしょうかね。

前回のトミージョン手術明けの2019年は、初めての経験でもあり、苦しんでるように見えました。
打者として試合に出場しながら、投手リハビリを重ねていくのは、相当に難しいこと。使う筋肉の種類がまるで違う。何しろ長い野球史の中で、誰一人経験者が居ませんでしたから。

でも今回は違う。大谷翔平と言う前例があります。経験を活かして、回復ではなく、むしろ進化すると確信してます。

「残り試合のチームの勝利を祈りつつ、自分自身一日でも早くグラウンドに戻れるように頑張ります」
→残留します、としか聞こえないのですが…

まあ、何処で何をしようが応援あるのみ。",
"

まあ、何処で何をしようが応援あるのみ。",13,"まずは手術が成功して良かった。ドクターの話から推測するとハイブリッド手術だったのでしょうかね。

前回のトミージョン手術明けの2019年は、初めての経験でもあり、苦しんでるように見えました。
打者として試合に出場しながら、投手リハビリを重ねていくのは、相当に難しいこと。使う筋肉の種類がまるで違う。何しろ長い野球史の中で、誰一人経験者が居ませんでしたから。

でも今回は違う。大谷翔平と言う前例があります。経験を活かして、回復ではなく、むしろ進化すると確信してます。

「残り試合のチームの勝利を祈りつつ、自分自身一日でも早くグラウンドに戻れるように頑張ります」
→残留します、としか聞こえないのですが…

まあ、何処で何をしようが応援あるのみ。",
改めて悲しいが、素晴らしい3年間を見れた。,1,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
"
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。",2,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。,3,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
"
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。",4,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
"
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。",5,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
本当に今季はお疲れ様でした。,6,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
自分からしたら、人間で今一番かっこいいです。,7,"改めて悲しいが、素晴らしい3年間を見れた。
けど今年も本塁打王のチャンスあるし、ましてやほぼMVPは確定でしょう。
来年も投手としては出来ないけど、今年の６月谷の打撃成績を超えてきてくれると信じてる。
二刀流の魅力は、投手ができなくとも打者でメジャートップ成績にまでの選手になれたので来年もめちゃくちゃ楽しみです。
大谷翔平選手が完全復活してまた素晴らしい活躍を必ずしてくれるでしょう。
本当に今季はお疲れ様でした。自分からしたら、人間で今一番かっこいいです。",
シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。,1,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。,2,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
こういうところが大谷選手が好かれる理由なんだと思います。,3,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
"
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。",4,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
またそういう舞台が似合う選手。,5,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
大谷選手を見ていると野球って本当に面白いな、と思います。,6,"シーズンが終わっていないのに手術をしたということは、大谷選手の視点はもう来シーズンにあるということ。逆に言うならワイルドカードへの望みを絶たれるまで出場しようとしていたということ。
こういうところが大谷選手が好かれる理由なんだと思います。
大谷選手が力対力、チーム対チームの最高の舞台でプレーしたがっているのはWBCを見ててもよくわかりました。またそういう舞台が似合う選手。大谷選手を見ていると野球って本当に面白いな、と思います。",
自分がもし担当医だったら重圧で押し潰されてしまう自信がある。,1,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
"
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。",2,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。,3,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。,4,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
"
そして無事に成功したことに安堵した日本人は何百万人といると思う。",5,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
まずはおめでとうございます。,6,"自分がもし担当医だったら重圧で押し潰されてしまう自信がある。
球界の至宝がこの先どれほど活躍できるのかがこの手術の仕上がりに左右されるわけで。実績を重ねてる超一流の医師であっても、そこは相当なプレッシャーの中で進めたんだろうなぁと。あくまで素人の勝手な想像だけど本当に医者ってすごい仕事だなと思った。
そして無事に成功したことに安堵した日本人は何百万人といると思う。まずはおめでとうございます。",
"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。",1,"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。

未来の野球選手に夢を与えるために行動してると思います。

応援してます！",
"

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。",2,"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。

未来の野球選手に夢を与えるために行動してると思います。

応援してます！",
"

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。",3,"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。

未来の野球選手に夢を与えるために行動してると思います。

応援してます！",
"

未来の野球選手に夢を与えるために行動してると思います。",4,"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。

未来の野球選手に夢を与えるために行動してると思います。

応援してます！",
"

応援してます！",5,"世界トップレベルの体調管理、日々の過ごし方
を徹底して身体のケアをしていても、体の限界を超えてしまうと靭帯や鍛えられない部分が損傷してしまう。

外部からの要因ではまったくなく、己の限界に挑戦している結果だと思う。

それができる大谷選手をリスペクトですし
野球が好きなんだと思えるし、覚悟してると思う。

未来の野球選手に夢を与えるために行動してると思います。

応援してます！",
やると決めたら迷わず即行動する決断力。,1,"やると決めたら迷わず即行動する決断力。すごいです。今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！
また想像を超える活躍で楽しませてくれること信じて待っています。
手術の成功、おめでとう！",
すごいです。,2,"やると決めたら迷わず即行動する決断力。すごいです。今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！
また想像を超える活躍で楽しませてくれること信じて待っています。
手術の成功、おめでとう！",
今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！,3,"やると決めたら迷わず即行動する決断力。すごいです。今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！
また想像を超える活躍で楽しませてくれること信じて待っています。
手術の成功、おめでとう！",
また想像を超える活躍で楽しませてくれること信じて待っています。,4,"やると決めたら迷わず即行動する決断力。すごいです。今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！
また想像を超える活躍で楽しませてくれること信じて待っています。
手術の成功、おめでとう！",
"
手術の成功、おめでとう！",5,"やると決めたら迷わず即行動する決断力。すごいです。今後は打者1本でやるべきだという声も球界からは出ていましたが、まだまだ二刀流で野球を続けたいという強い気持ちでいる大谷選手を応援します！
また想像を超える活躍で楽しませてくれること信じて待っています。
手術の成功、おめでとう！",
まずは成功おめでとうございます。,1,まずは成功おめでとうございます。前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。忍耐と努力の一年半？が始まりますね。きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。またあのパフォーマンス期待します。,
前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。,2,まずは成功おめでとうございます。前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。忍耐と努力の一年半？が始まりますね。きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。またあのパフォーマンス期待します。,
忍耐と努力の一年半？が始まりますね。,3,まずは成功おめでとうございます。前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。忍耐と努力の一年半？が始まりますね。きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。またあのパフォーマンス期待します。,
きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。,4,まずは成功おめでとうございます。前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。忍耐と努力の一年半？が始まりますね。きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。またあのパフォーマンス期待します。,
またあのパフォーマンス期待します。,5,まずは成功おめでとうございます。前回の手術後のドキュメント見ましたが、またあの壮絶なリハビリが始まるんですね。忍耐と努力の一年半？が始まりますね。きっと大谷さんなら乗り越えて二年後には不死鳥のごとく復活されると思います。またあのパフォーマンス期待します。,
"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。",1,"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",
"

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。",2,"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。,3,"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。,4,"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",
"

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",5,"高校生の頃の記事に、
打撃は考えなくてもを打てるが投球は考えたとおりにいかない、だから投手に挑戦し続けたいのだ、
というような当時の監督評があった。

彼の二刀流、というよりも投手へのこだわりは今も変わらずにあるのだろう。
おそらくバッターに専念すれば、天性と身体能力、そして努力で比類ない存在に君臨出来るだろう。
それでも言葉通り再来年、遅れてその後半や更に翌年になっても、大谷選手は投手としてマウンドに戻ってくると強く思う。

いつかは打者に専念するのが現実的だろうけど、投手としてのタイトル挑戦やプレーオフ登板、そして故障無く投げ続ける姿も応援したいですね。",
来期以降の活躍には期待しますが、やはり体が一番大事、無理せず長く活躍をしてもらえることだけを祈っています。,1,"来期以降の活躍には期待しますが、やはり体が一番大事、無理せず長く活躍をしてもらえることだけを祈っています。

やはり肘のじん帯の損傷が打撃にも影響があったんでしょうか、打撃練習で脇を痛めたのも、空振りで振り切ると右ひじのじん帯が伸びてケガを悪化させるかもしれないので、肘をかばい脇の筋肉でスイングを止めようとして痛めたのだと考えると、シーズン途中離脱し手術を受けたことは、恐らく正解だったと思う。

とにもかくにも、こんな選手は今後なかなか出てこないだろうから、身体だけは大切にしてください。",
"

やはり肘のじん帯の損傷が打撃にも影響があったんでしょうか、打撃練習で脇を痛めたのも、空振りで振り切ると右ひじのじん帯が伸びてケガを悪化させるかもしれないので、肘をかばい脇の筋肉でスイングを止めようとして痛めたのだと考えると、シーズン途中離脱し手術を受けたことは、恐らく正解だったと思う。",2,"来期以降の活躍には期待しますが、やはり体が一番大事、無理せず長く活躍をしてもらえることだけを祈っています。

やはり肘のじん帯の損傷が打撃にも影響があったんでしょうか、打撃練習で脇を痛めたのも、空振りで振り切ると右ひじのじん帯が伸びてケガを悪化させるかもしれないので、肘をかばい脇の筋肉でスイングを止めようとして痛めたのだと考えると、シーズン途中離脱し手術を受けたことは、恐らく正解だったと思う。

とにもかくにも、こんな選手は今後なかなか出てこないだろうから、身体だけは大切にしてください。",
"

とにもかくにも、こんな選手は今後なかなか出てこないだろうから、身体だけは大切にしてください。",3,"来期以降の活躍には期待しますが、やはり体が一番大事、無理せず長く活躍をしてもらえることだけを祈っています。

やはり肘のじん帯の損傷が打撃にも影響があったんでしょうか、打撃練習で脇を痛めたのも、空振りで振り切ると右ひじのじん帯が伸びてケガを悪化させるかもしれないので、肘をかばい脇の筋肉でスイングを止めようとして痛めたのだと考えると、シーズン途中離脱し手術を受けたことは、恐らく正解だったと思う。

とにもかくにも、こんな選手は今後なかなか出てこないだろうから、身体だけは大切にしてください。",
手術が無事に成功してよかったです。,1,"手術が無事に成功してよかったです。
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。
来季の活躍に期待しています。",
"
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。",2,"手術が無事に成功してよかったです。
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。
来季の活躍に期待しています。",
"
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。",3,"手術が無事に成功してよかったです。
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。
来季の活躍に期待しています。",
"
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。",4,"手術が無事に成功してよかったです。
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。
来季の活躍に期待しています。",
"
来季の活躍に期待しています。",5,"手術が無事に成功してよかったです。
一度は経験しているとはいえこれからのリハビリが一番大変かと思いますが、来季に向けてゆっくり治して下さい。
連日のホームラン速報が楽しみで、どこまで記録が伸びるのかを毎日楽しみにしていました所に怪我の報告。
あんなにフルで動いてはいつ体が悲鳴を上げてもおかしくなかっただろうし本来はもっと早くから限界にきていた事と思います。
来季の活躍に期待しています。",
手術成功ということで良かった。,1,"手術成功ということで良かった。復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。もしかしたらそれ以上の新たに特別な手法もあったかもしれません。
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。その辺りも素晴らしい一流の姿だと思いました。
あとは経過次第ではあるけど、こればかりは必ず25年に二刀流で、その後も長く二刀流が見れる保証がありません。先ずは来季の打者としての復帰を見守りたいと思います。
あとはFAでどんな判断になるのかも注目ですね。環境の変化を嫌って残留の可能性も出てきましたね。",
復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。,2,"手術成功ということで良かった。復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。もしかしたらそれ以上の新たに特別な手法もあったかもしれません。
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。その辺りも素晴らしい一流の姿だと思いました。
あとは経過次第ではあるけど、こればかりは必ず25年に二刀流で、その後も長く二刀流が見れる保証がありません。先ずは来季の打者としての復帰を見守りたいと思います。
あとはFAでどんな判断になるのかも注目ですね。環境の変化を嫌って残留の可能性も出てきましたね。",
もしかしたらそれ以上の新たに特別な手法もあったかもしれません。,3,"手術成功ということで良かった。復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。もしかしたらそれ以上の新たに特別な手法もあったかもしれません。
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。その辺りも素晴らしい一流の姿だと思いました。
あとは経過次第ではあるけど、こればかりは必ず25年に二刀流で、その後も長く二刀流が見れる保証がありません。先ずは来季の打者としての復帰を見守りたいと思います。
あとはFAでどんな判断になるのかも注目ですね。環境の変化を嫌って残留の可能性も出てきましたね。",
"
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。",4,"手術成功ということで良かった。復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。もしかしたらそれ以上の新たに特別な手法もあったかもしれません。
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。その辺りも素晴らしい一流の姿だと思いました。
あとは経過次第ではあるけど、こればかりは必ず25年に二刀流で、その後も長く二刀流が見れる保証がありません。先ずは来季の打者としての復帰を見守りたいと思います。
あとはFAでどんな判断になるのかも注目ですね。環境の変化を嫌って残留の可能性も出てきましたね。",
その辺りも素晴らしい一流の姿だと思いました。,5,"手術成功ということで良かった。復帰までのプロセスを推察するとおそらく同じような靭帯再建のトミージョンだと思います。もしかしたらそれ以上の新たに特別な手法もあったかもしれません。
大谷本人も手術に至るまでの葛藤はかなりあったはずで大きな判断でもあるのに、手術までが非常に早かったと思います。その辺りも素晴らしい一流の姿だと思いました。
あとは経過次第ではあるけど、こればかりは必ず25年に二刀流で、その後も長く二刀流が見れる保証がありません。先ずは来季の打者としての復帰を見守りたいと思います。
あとはFAでどんな判断になるのかも注目ですね。環境の変化を嫌って残留の可能性も出てきましたね。",
